Date,Entity,Account Type,Account Group,Local Currency Balance,FX Rate,EUR Balance
2020-10-01,Tapstorm SG,Equity,Share Capital,105431.98,1.1479,121025.37
2020-10-01,TapForge CN,Asset,Cash,96168.09,1.1016,105938.77
2020-10-01,TapForge CN,Asset,Accounts Receivable,77967.13,0.8018,62514.04
2020-10-01,TapForge CN,Asset,Prepaid Expenses,81472.21,1.1126,90645.98
2020-10-01,TapForge CN,Asset,PPE,81804.96,1.2004,98198.67
2020-10-01,TapForge CN,Liability,Accounts Payable,45842.14,0.9278,42532.34
2020-10-01,TapForge CN,Liability,Deferred Revenue,95299.75,1.0397,99083.15
2020-10-01,TapForge CN,Liability,Accrued Expenses,102334.82,1.0541,107871.13
2020-10-01,TapForge CN,Equity,Retained Earnings,54527.62,1.0401,56714.18
2020-10-01,TapForge CN,Equity,Share Capital,86409.0,1.211,104641.3
2020-10-01,WhaleCare PH,Asset,Cash,93229.55,0.9544,88978.28
2020-10-01,WhaleCare PH,Asset,Accounts Receivable,124245.73,1.0963,136210.59
2020-10-01,WhaleCare PH,Asset,Prepaid Expenses,151754.98,0.9055,137414.13
2020-10-01,WhaleCare PH,Asset,PPE,111803.18,0.9228,103171.97
2020-10-01,WhaleCare PH,Liability,Accounts Payable,58685.94,1.0024,58826.79
2020-10-01,WhaleCare PH,Liability,Deferred Revenue,72261.25,0.8383,60576.61
2020-10-01,WhaleCare PH,Liability,Accrued Expenses,102204.25,0.9862,100793.83
2020-10-01,WhaleCare PH,Equity,Retained Earnings,86425.47,0.9174,79286.73
2020-10-01,WhaleCare PH,Equity,Share Capital,98800.02,1.0484,103581.94
2020-10-01,SummonStorm BR,Asset,Cash,124848.25,0.9974,124523.64
2020-10-01,SummonStorm BR,Asset,Accounts Receivable,94853.44,1.1274,106937.77
2020-10-01,SummonStorm BR,Asset,Prepaid Expenses,173403.36,1.0376,179923.33
2020-10-01,SummonStorm BR,Asset,PPE,52666.54,1.1653,61372.32
2020-10-01,SummonStorm BR,Liability,Accounts Payable,116168.2,0.9022,104806.95
2020-10-01,SummonStorm BR,Liability,Deferred Revenue,49951.88,1.0791,53903.07
2020-10-01,SummonStorm BR,Liability,Accrued Expenses,74418.56,1.1352,84479.95
2020-10-01,SummonStorm BR,Equity,Retained Earnings,125244.56,1.2926,161891.12
2020-10-01,SummonStorm BR,Equity,Share Capital,38165.44,0.8108,30944.54
2020-11-01,Tapstorm SG,Asset,Cash,108912.81,1.2202,132895.41
2020-11-01,Tapstorm SG,Asset,Accounts Receivable,62687.7,1.0839,67947.2
2020-11-01,Tapstorm SG,Asset,Prepaid Expenses,97903.04,0.8018,78498.66
2020-11-01,Tapstorm SG,Asset,PPE,81104.01,0.9739,78987.2
2020-11-01,Tapstorm SG,Liability,Accounts Payable,100422.39,1.2514,125668.58
2020-11-01,Tapstorm SG,Liability,Deferred Revenue,111925.59,1.244,139235.43
2020-11-01,Tapstorm SG,Liability,Accrued Expenses,131761.56,1.2696,167284.48
2020-11-01,Tapstorm SG,Equity,Retained Earnings,104171.7,1.1791,122828.85
2020-11-01,Tapstorm SG,Equity,Share Capital,118467.16,1.0351,122625.36
2020-11-01,TapForge CN,Asset,Cash,97978.71,1.1337,111078.46
2020-11-01,TapForge CN,Asset,Accounts Receivable,59720.08,1.17,69872.49
2020-11-01,TapForge CN,Asset,Prepaid Expenses,65823.19,0.862,56739.59
2020-11-01,TapForge CN,Asset,PPE,144752.05,0.9887,143116.35
2020-11-01,TapForge CN,Liability,Accounts Payable,63380.78,1.0973,69547.73
2020-11-01,TapForge CN,Liability,Deferred Revenue,105715.76,1.1008,116371.91
2020-11-01,TapForge CN,Liability,Accrued Expenses,105234.68,1.0099,106276.5
2020-11-01,TapForge CN,Equity,Retained Earnings,103542.25,1.1891,123122.09
2020-11-01,TapForge CN,Equity,Share Capital,130683.24,1.0336,135074.2
2020-11-01,WhaleCare PH,Asset,Cash,80635.6,1.2583,101463.78
2020-11-01,WhaleCare PH,Asset,Accounts Receivable,93652.1,1.2104,113356.5
2020-11-01,WhaleCare PH,Asset,Prepaid Expenses,89773.65,0.9923,89082.39
2020-11-01,WhaleCare PH,Asset,PPE,32013.48,0.9741,31184.33
2020-11-01,WhaleCare PH,Liability,Accounts Payable,77178.84,1.1463,88470.1
2020-11-01,WhaleCare PH,Liability,Deferred Revenue,131968.14,1.1668,153980.43
2020-11-01,WhaleCare PH,Liability,Accrued Expenses,160716.28,1.1291,181464.75
2020-11-01,WhaleCare PH,Equity,Retained Earnings,128514.83,0.8836,113555.7
2020-11-01,WhaleCare PH,Equity,Share Capital,111655.37,1.2946,144549.04
2020-11-01,SummonStorm BR,Asset,Cash,58739.24,1.1474,67397.4
2020-11-01,SummonStorm BR,Asset,Accounts Receivable,105561.04,0.9144,96525.01
2020-11-01,SummonStorm BR,Asset,Prepaid Expenses,102961.88,1.2864,132450.16
2020-11-01,SummonStorm BR,Asset,PPE,170234.44,0.9429,160514.05
2020-11-01,SummonStorm BR,Liability,Accounts Payable,47596.43,0.8039,38262.77
2020-11-01,SummonStorm BR,Liability,Deferred Revenue,62470.76,0.9538,59584.61
2020-11-01,SummonStorm BR,Liability,Accrued Expenses,136358.15,1.2473,170079.52
2020-11-01,SummonStorm BR,Equity,Retained Earnings,146335.16,0.9953,145647.38
2020-11-01,SummonStorm BR,Equity,Share Capital,109937.69,0.9529,104759.62
2020-12-01,Tapstorm SG,Asset,Cash,89050.0,1.1023,98159.82
2020-12-01,Tapstorm SG,Asset,Accounts Receivable,117190.88,1.0834,126964.6
2020-12-01,Tapstorm SG,Asset,Prepaid Expenses,165334.5,0.8086,133689.48
2020-12-01,Tapstorm SG,Asset,PPE,80573.41,0.8939,72024.57
2020-12-01,Tapstorm SG,Liability,Accounts Payable,113962.31,0.8147,92845.09
2020-12-01,Tapstorm SG,Liability,Deferred Revenue,93941.46,0.9926,93246.29
2020-12-01,Tapstorm SG,Liability,Accrued Expenses,111084.25,0.9559,106185.43
2020-12-01,Tapstorm SG,Equity,Retained Earnings,123358.04,1.1661,143847.81
2020-12-01,Tapstorm SG,Equity,Share Capital,82402.42,0.8797,72489.41
2020-12-01,TapForge CN,Asset,Cash,129419.84,1.2967,167818.71
2020-12-01,TapForge CN,Asset,Accounts Receivable,85231.84,0.8201,69898.63
2020-12-01,TapForge CN,Asset,Prepaid Expenses,117176.71,0.857,100420.44
2020-12-01,TapForge CN,Asset,PPE,41717.46,1.0232,42685.31
2020-12-01,TapForge CN,Liability,Accounts Payable,122895.32,1.0663,131043.28
2020-12-01,TapForge CN,Liability,Deferred Revenue,73382.94,0.986,72355.58
2020-12-01,TapForge CN,Liability,Accrued Expenses,85004.92,0.8052,68445.96
2020-12-01,TapForge CN,Equity,Retained Earnings,32291.98,1.0497,33896.89
2020-12-01,TapForge CN,Equity,Share Capital,93257.27,0.8734,81450.9
2020-12-01,WhaleCare PH,Asset,Cash,139849.29,1.1523,161148.34
2020-12-01,WhaleCare PH,Asset,Accounts Receivable,53006.63,1.279,67795.48
2020-12-01,WhaleCare PH,Asset,Prepaid Expenses,105835.94,1.2226,129395.02
2020-12-01,WhaleCare PH,Asset,PPE,38801.71,1.0111,39232.41
2020-12-01,WhaleCare PH,Liability,Accounts Payable,95497.61,1.0996,105009.17
2020-12-01,WhaleCare PH,Liability,Deferred Revenue,125750.24,1.0165,127825.12
2020-12-01,WhaleCare PH,Liability,Accrued Expenses,96744.27,1.0742,103922.69
2020-12-01,WhaleCare PH,Equity,Retained Earnings,123416.38,1.2338,152271.13
2020-12-01,WhaleCare PH,Equity,Share Capital,84928.78,1.2247,104012.28
2020-12-01,SummonStorm BR,Asset,Cash,177530.41,1.1098,197023.25
2020-12-01,SummonStorm BR,Asset,Accounts Receivable,133026.75,0.9593,127612.56
2020-12-01,SummonStorm BR,Asset,Prepaid Expenses,106283.95,1.2866,136744.93
2020-12-01,SummonStorm BR,Asset,PPE,151357.83,1.1291,170898.13
2020-12-01,SummonStorm BR,Liability,Accounts Payable,141836.86,0.9769,138560.43
2020-12-01,SummonStorm BR,Liability,Deferred Revenue,83877.86,1.0296,86360.64
2020-12-01,SummonStorm BR,Liability,Accrued Expenses,115023.64,1.0146,116702.99
2020-12-01,SummonStorm BR,Equity,Retained Earnings,91121.32,1.1204,102092.33
2020-12-01,SummonStorm BR,Equity,Share Capital,127558.87,1.1066,141156.65
2021-01-01,Tapstorm SG,Asset,Cash,147156.12,0.9025,132808.4
2021-01-01,Tapstorm SG,Asset,Accounts Receivable,55603.82,1.0443,58067.07
2021-01-01,Tapstorm SG,Asset,Prepaid Expenses,103573.47,1.1173,115722.64
2021-01-01,Tapstorm SG,Asset,PPE,143873.44,1.2634,181769.7
2021-01-01,Tapstorm SG,Liability,Accounts Payable,122812.18,1.2418,152508.17
2021-01-01,Tapstorm SG,Liability,Deferred Revenue,112826.26,1.1449,129174.79
2021-01-01,Tapstorm SG,Liability,Accrued Expenses,132253.57,0.857,113341.31
2021-01-01,Tapstorm SG,Equity,Retained Earnings,59866.61,0.8051,48198.61
2021-01-01,Tapstorm SG,Equity,Share Capital,117046.46,1.2833,150205.72
2021-01-01,TapForge CN,Asset,Cash,137008.12,0.8787,120389.04
2021-01-01,TapForge CN,Asset,Accounts Receivable,117083.19,0.8767,102646.83
2021-01-01,TapForge CN,Asset,Prepaid Expenses,63417.74,0.8619,54659.75
2021-01-01,TapForge CN,Asset,PPE,88694.92,0.9862,87470.93
2021-01-01,TapForge CN,Liability,Accounts Payable,100331.12,1.1739,117778.7
2021-01-01,TapForge CN,Liability,Deferred Revenue,75424.65,1.0835,81722.61
2021-01-01,TapForge CN,Liability,Accrued Expenses,72960.1,1.0872,79322.22
2021-01-01,TapForge CN,Equity,Retained Earnings,114736.51,1.1021,126451.11
2021-01-01,TapForge CN,Equity,Share Capital,149422.77,1.1845,176991.27
2021-01-01,WhaleCare PH,Asset,Cash,43439.8,1.216,52822.8
2021-01-01,WhaleCare PH,Asset,Accounts Receivable,85509.74,0.8686,74273.76
2021-01-01,WhaleCare PH,Asset,Prepaid Expenses,78329.06,1.2667,99219.42
2021-01-01,WhaleCare PH,Asset,PPE,145031.41,0.9901,143595.6
2021-01-01,WhaleCare PH,Liability,Accounts Payable,121695.5,0.9576,116535.61
2021-01-01,WhaleCare PH,Liability,Deferred Revenue,141745.65,1.0496,148776.23
2021-01-01,WhaleCare PH,Liability,Accrued Expenses,126574.08,0.8199,103778.09
2021-01-01,WhaleCare PH,Equity,Retained Earnings,135437.23,1.2939,175242.23
2021-01-01,WhaleCare PH,Equity,Share Capital,108600.39,1.1011,119579.89
2021-01-01,SummonStorm BR,Asset,Cash,114275.37,1.025,117132.25
2021-01-01,SummonStorm BR,Asset,Accounts Receivable,115744.52,1.0102,116925.11
2021-01-01,SummonStorm BR,Asset,Prepaid Expenses,100997.63,1.1917,120358.88
2021-01-01,SummonStorm BR,Asset,PPE,100152.35,1.0301,103166.94
2021-01-01,SummonStorm BR,Liability,Accounts Payable,114247.44,0.8219,93899.97
2021-01-01,SummonStorm BR,Liability,Deferred Revenue,113487.01,0.9401,106689.14
2021-01-01,SummonStorm BR,Liability,Accrued Expenses,106339.83,1.2559,133552.19
2021-01-01,SummonStorm BR,Equity,Retained Earnings,105421.95,1.2397,130691.59
2021-01-01,SummonStorm BR,Equity,Share Capital,121356.28,0.8692,105482.88
2021-02-01,Tapstorm SG,Asset,Cash,96172.58,0.8164,78515.29
2021-02-01,Tapstorm SG,Asset,Accounts Receivable,63378.4,0.9597,60824.25
2021-02-01,Tapstorm SG,Asset,Prepaid Expenses,106175.42,1.0616,112715.83
2021-02-01,Tapstorm SG,Asset,PPE,73058.22,0.8397,61346.99
2021-02-01,Tapstorm SG,Liability,Accounts Payable,131159.68,0.8341,109400.29
2021-02-01,Tapstorm SG,Liability,Deferred Revenue,82391.11,0.8198,67544.23
2021-02-01,Tapstorm SG,Liability,Accrued Expenses,84989.14,0.8654,73549.6
2021-02-01,Tapstorm SG,Equity,Retained Earnings,112446.99,1.0597,119160.08
2021-02-01,Tapstorm SG,Equity,Share Capital,99649.11,1.0464,104272.83
2021-02-01,TapForge CN,Asset,Cash,135472.14,1.2261,166102.39
2021-02-01,TapForge CN,Asset,Accounts Receivable,93726.04,1.0972,102836.21
2021-02-01,TapForge CN,Asset,Prepaid Expenses,91174.11,1.1291,102944.69
2021-02-01,TapForge CN,Asset,PPE,77103.33,0.9542,73572.0
2021-02-01,TapForge CN,Liability,Accounts Payable,64440.41,1.1531,74306.24
2021-02-01,TapForge CN,Liability,Deferred Revenue,84208.89,1.026,86398.32
2021-02-01,TapForge CN,Liability,Accrued Expenses,112344.08,1.2821,144036.34
2021-02-01,TapForge CN,Equity,Retained Earnings,138506.84,1.2973,179684.92
2021-02-01,TapForge CN,Equity,Share Capital,125532.29,1.1354,142529.36
2021-02-01,WhaleCare PH,Asset,Cash,82886.58,1.2961,107429.3
2021-02-01,WhaleCare PH,Asset,Accounts Receivable,104866.54,1.2436,130412.03
2021-02-01,WhaleCare PH,Asset,Prepaid Expenses,100841.82,0.8347,84172.67
2021-02-01,WhaleCare PH,Asset,PPE,134760.62,1.2795,172426.21
2021-02-01,WhaleCare PH,Liability,Accounts Payable,139464.09,0.802,111850.2
2021-02-01,WhaleCare PH,Liability,Deferred Revenue,41597.12,0.8533,35494.82
2021-02-01,WhaleCare PH,Liability,Accrued Expenses,141800.14,0.835,118403.12
2021-02-01,WhaleCare PH,Equity,Retained Earnings,52913.64,1.0807,57183.77
2021-02-01,WhaleCare PH,Equity,Share Capital,108193.4,1.0199,110346.45
2021-02-01,SummonStorm BR,Asset,Cash,37301.68,1.2145,45302.89
2021-02-01,SummonStorm BR,Asset,Accounts Receivable,130467.7,0.8334,108731.78
2021-02-01,SummonStorm BR,Asset,Prepaid Expenses,89844.38,1.2792,114928.93
2021-02-01,SummonStorm BR,Asset,PPE,120296.09,1.1148,134106.08
2021-02-01,SummonStorm BR,Liability,Accounts Payable,91354.77,1.2146,110959.5
2021-02-01,SummonStorm BR,Liability,Deferred Revenue,129142.97,0.9376,121084.45
2021-02-01,SummonStorm BR,Liability,Accrued Expenses,49995.3,0.8049,40241.22
2021-02-01,SummonStorm BR,Equity,Retained Earnings,118297.01,1.2658,149740.36
2021-02-01,SummonStorm BR,Equity,Share Capital,112507.56,0.853,95968.95
2021-03-01,Tapstorm SG,Asset,Cash,111249.78,0.8454,94050.56
2021-03-01,Tapstorm SG,Asset,Accounts Receivable,115406.35,0.9102,105042.86
2021-03-01,Tapstorm SG,Asset,Prepaid Expenses,134049.34,0.9929,133097.59
2021-03-01,Tapstorm SG,Asset,PPE,129605.05,0.9646,125017.03
2021-03-01,Tapstorm SG,Liability,Accounts Payable,57656.62,1.0764,62061.59
2021-03-01,Tapstorm SG,Liability,Deferred Revenue,103441.89,1.0726,110951.77
2021-03-01,Tapstorm SG,Liability,Accrued Expenses,110658.67,1.1085,122665.14
2021-03-01,Tapstorm SG,Equity,Retained Earnings,98012.35,1.011,99090.49
2021-03-01,Tapstorm SG,Equity,Share Capital,104642.06,0.9323,97557.79
2021-03-01,TapForge CN,Asset,Cash,114340.19,0.8591,98229.66
2021-03-01,TapForge CN,Asset,Accounts Receivable,122711.39,1.2507,153475.14
2021-03-01,TapForge CN,Asset,Prepaid Expenses,117110.32,0.9985,116934.65
2021-03-01,TapForge CN,Asset,PPE,125913.87,0.9643,121418.74
2021-03-01,TapForge CN,Liability,Accounts Payable,159078.72,1.2566,199898.32
2021-03-01,TapForge CN,Liability,Deferred Revenue,93781.93,1.1387,106789.48
2021-03-01,TapForge CN,Liability,Accrued Expenses,95974.66,1.1586,111196.24
2021-03-01,TapForge CN,Equity,Retained Earnings,121093.03,1.1418,138264.02
2021-03-01,TapForge CN,Equity,Share Capital,99870.41,0.8198,81873.76
2021-03-01,WhaleCare PH,Asset,Cash,89840.88,0.942,84630.11
2021-03-01,WhaleCare PH,Asset,Accounts Receivable,86358.92,1.236,106739.63
2021-03-01,WhaleCare PH,Asset,Prepaid Expenses,118853.13,1.1925,141732.36
2021-03-01,WhaleCare PH,Asset,PPE,113571.19,1.0838,123088.46
2021-03-01,WhaleCare PH,Liability,Accounts Payable,155964.05,1.1472,178921.96
2021-03-01,WhaleCare PH,Liability,Deferred Revenue,69262.65,1.1477,79492.74
2021-03-01,WhaleCare PH,Liability,Accrued Expenses,69980.37,1.2976,90806.53
2021-03-01,WhaleCare PH,Equity,Retained Earnings,101996.75,0.9478,96672.52
2021-03-01,WhaleCare PH,Equity,Share Capital,76471.47,1.2018,91903.41
2021-03-01,SummonStorm BR,Asset,Cash,46568.83,1.1389,53037.24
2021-03-01,SummonStorm BR,Asset,Accounts Receivable,87348.9,0.8852,77321.25
2021-03-01,SummonStorm BR,Asset,Prepaid Expenses,164897.3,1.0066,165985.62
2021-03-01,SummonStorm BR,Asset,PPE,174604.85,0.8272,144433.13
2021-03-01,SummonStorm BR,Liability,Accounts Payable,116260.07,1.2928,150301.02
2021-03-01,SummonStorm BR,Liability,Deferred Revenue,66592.98,1.1828,78766.18
2021-03-01,SummonStorm BR,Liability,Accrued Expenses,76552.86,1.186,90791.69
2021-03-01,SummonStorm BR,Equity,Retained Earnings,102779.43,0.8849,90949.52
2021-03-01,SummonStorm BR,Equity,Share Capital,84875.93,0.8439,71626.8
2021-04-01,Tapstorm SG,Asset,Cash,104903.77,1.2448,130584.21
2021-04-01,Tapstorm SG,Asset,Accounts Receivable,101299.02,1.2339,124992.86
2021-04-01,Tapstorm SG,Asset,Prepaid Expenses,63266.09,1.1184,70756.8
2021-04-01,Tapstorm SG,Asset,PPE,98530.39,0.8158,80381.09
2021-04-01,Tapstorm SG,Liability,Accounts Payable,113889.8,0.8215,93560.47
2021-04-01,Tapstorm SG,Liability,Deferred Revenue,88782.77,0.8181,72633.18
2021-04-01,Tapstorm SG,Liability,Accrued Expenses,128398.54,0.8965,115109.29
2021-04-01,Tapstorm SG,Equity,Retained Earnings,101671.88,1.2311,125168.25
2021-04-01,Tapstorm SG,Equity,Share Capital,96091.4,1.065,102337.34
2021-04-01,TapForge CN,Asset,Cash,101857.81,1.0232,104220.91
2021-04-01,TapForge CN,Asset,Accounts Receivable,83765.24,1.2308,103098.26
2021-04-01,TapForge CN,Asset,Prepaid Expenses,112175.0,1.0318,115742.17
2021-04-01,TapForge CN,Asset,PPE,74277.66,1.2287,91264.96
2021-04-01,TapForge CN,Liability,Accounts Payable,171662.15,0.973,167027.27
2021-04-01,TapForge CN,Liability,Deferred Revenue,160865.03,1.0108,162602.37
2021-04-01,TapForge CN,Liability,Accrued Expenses,97686.77,1.0722,104739.75
2021-04-01,TapForge CN,Equity,Retained Earnings,117085.76,1.1108,130058.86
2021-04-01,TapForge CN,Equity,Share Capital,118068.61,1.1793,139238.31
2021-04-01,WhaleCare PH,Asset,Cash,117839.95,1.2657,149150.02
2021-04-01,WhaleCare PH,Asset,Accounts Receivable,120546.15,0.9699,116917.71
2021-04-01,WhaleCare PH,Asset,Prepaid Expenses,122692.24,0.864,106006.1
2021-04-01,WhaleCare PH,Asset,PPE,120800.01,1.2944,156363.53
2021-04-01,WhaleCare PH,Liability,Accounts Payable,76430.37,0.9218,70453.52
2021-04-01,WhaleCare PH,Liability,Deferred Revenue,113349.05,0.8035,91075.96
2021-04-01,WhaleCare PH,Liability,Accrued Expenses,77661.57,1.0816,83998.75
2021-04-01,WhaleCare PH,Equity,Retained Earnings,115696.28,1.1899,137667.0
2021-04-01,WhaleCare PH,Equity,Share Capital,128086.41,1.1608,148682.7
2021-04-01,SummonStorm BR,Asset,Cash,111251.19,0.9814,109181.92
2021-04-01,SummonStorm BR,Asset,Accounts Receivable,122454.39,0.9653,118205.22
2021-04-01,SummonStorm BR,Asset,Prepaid Expenses,106592.73,0.811,86446.7
2021-04-01,SummonStorm BR,Asset,PPE,155475.39,1.1608,180475.83
2021-04-01,SummonStorm BR,Liability,Accounts Payable,112318.68,0.9523,106961.08
2021-04-01,SummonStorm BR,Liability,Deferred Revenue,72441.43,0.8426,61039.15
2021-04-01,SummonStorm BR,Liability,Accrued Expenses,85410.53,0.9107,77783.37
2021-04-01,SummonStorm BR,Equity,Retained Earnings,113034.85,1.0195,115239.03
2021-04-01,SummonStorm BR,Equity,Share Capital,139377.94,0.8473,118094.93
2021-05-01,Tapstorm SG,Asset,Cash,112058.65,0.9054,101457.9
2021-05-01,Tapstorm SG,Asset,Accounts Receivable,106774.88,0.9329,99610.29
2021-05-01,Tapstorm SG,Asset,Prepaid Expenses,66462.12,1.0139,67385.94
2021-05-01,Tapstorm SG,Asset,PPE,156886.04,0.9406,147567.01
2021-05-01,Tapstorm SG,Liability,Accounts Payable,60164.39,0.8885,53456.06
2021-05-01,Tapstorm SG,Liability,Deferred Revenue,53630.22,0.9437,50610.84
2021-05-01,Tapstorm SG,Liability,Accrued Expenses,85893.26,1.1816,101491.48
2021-05-01,Tapstorm SG,Equity,Retained Earnings,117777.57,0.9646,113608.24
2021-05-01,Tapstorm SG,Equity,Share Capital,87999.34,1.1936,105036.01
2021-05-01,TapForge CN,Asset,Cash,81511.75,0.8164,66546.19
2021-05-01,TapForge CN,Asset,Accounts Receivable,75329.9,1.216,91601.16
2021-05-01,TapForge CN,Asset,Prepaid Expenses,153031.24,1.041,159305.52
2021-05-01,TapForge CN,Asset,PPE,110058.06,1.1356,124981.93
2021-05-01,TapForge CN,Liability,Accounts Payable,126882.22,1.2994,164870.76
2021-05-01,TapForge CN,Liability,Deferred Revenue,161716.53,0.8788,142116.49
2021-05-01,TapForge CN,Liability,Accrued Expenses,160754.6,1.0122,162715.81
2021-05-01,TapForge CN,Equity,Retained Earnings,73048.09,1.2407,90630.77
2021-05-01,TapForge CN,Equity,Share Capital,107489.94,0.9067,97461.13
2021-05-01,WhaleCare PH,Asset,Cash,123622.63,1.0779,133252.83
2021-05-01,WhaleCare PH,Asset,Accounts Receivable,103250.87,1.1312,116797.38
2021-05-01,WhaleCare PH,Asset,Prepaid Expenses,79727.27,1.0761,85794.52
2021-05-01,WhaleCare PH,Asset,PPE,20003.76,0.9557,19117.59
2021-05-01,WhaleCare PH,Liability,Accounts Payable,140375.09,0.9282,130296.16
2021-05-01,WhaleCare PH,Liability,Deferred Revenue,155452.2,0.9211,143187.02
2021-05-01,WhaleCare PH,Liability,Accrued Expenses,122100.0,0.8691,106117.11
2021-05-01,WhaleCare PH,Equity,Retained Earnings,99290.46,1.0847,107700.36
2021-05-01,WhaleCare PH,Equity,Share Capital,83416.91,1.2847,107165.7
2021-05-01,SummonStorm BR,Asset,Cash,103888.01,1.0535,109446.02
2021-05-01,SummonStorm BR,Asset,Accounts Receivable,140074.6,0.9841,137847.41
2021-05-01,SummonStorm BR,Asset,Prepaid Expenses,116545.45,1.0148,118270.32
2021-05-01,SummonStorm BR,Asset,PPE,34703.91,1.1296,39201.54
2021-05-01,SummonStorm BR,Liability,Accounts Payable,148105.55,1.1199,165863.41
2021-05-01,SummonStorm BR,Liability,Deferred Revenue,120355.19,1.0593,127492.25
2021-05-01,SummonStorm BR,Liability,Accrued Expenses,67839.2,0.9122,61882.92
2021-05-01,SummonStorm BR,Equity,Retained Earnings,117748.08,0.8409,99014.36
2021-05-01,SummonStorm BR,Equity,Share Capital,106237.45,0.8963,95220.63
2021-06-01,Tapstorm SG,Asset,Cash,106127.7,1.0167,107900.03
2021-06-01,Tapstorm SG,Asset,Accounts Receivable,69759.72,0.9988,69676.01
2021-06-01,Tapstorm SG,Asset,Prepaid Expenses,92163.23,0.8768,80808.72
2021-06-01,Tapstorm SG,Asset,PPE,51642.43,0.9318,48120.42
2021-06-01,Tapstorm SG,Liability,Accounts Payable,136780.31,0.848,115989.7
2021-06-01,Tapstorm SG,Liability,Deferred Revenue,74289.54,1.0072,74824.42
2021-06-01,Tapstorm SG,Liability,Accrued Expenses,133666.96,1.1346,151658.53
2021-06-01,Tapstorm SG,Equity,Retained Earnings,118433.62,1.0197,120766.76
2021-06-01,Tapstorm SG,Equity,Share Capital,88118.96,1.0566,93106.49
2021-06-01,TapForge CN,Asset,Cash,77543.38,0.9316,72239.41
2021-06-01,TapForge CN,Asset,Accounts Receivable,106282.33,1.0856,115380.1
2021-06-01,TapForge CN,Asset,Prepaid Expenses,132548.51,1.057,140103.78
2021-06-01,TapForge CN,Asset,PPE,124387.26,1.294,160957.11
2021-06-01,TapForge CN,Liability,Accounts Payable,116957.93,0.9445,110466.76
2021-06-01,TapForge CN,Liability,Deferred Revenue,95106.24,0.9955,94678.26
2021-06-01,TapForge CN,Liability,Accrued Expenses,124485.82,1.018,126726.56
2021-06-01,TapForge CN,Equity,Retained Earnings,53721.2,0.9238,49627.64
2021-06-01,TapForge CN,Equity,Share Capital,107385.38,1.0101,108469.97
2021-06-01,WhaleCare PH,Asset,Cash,100263.66,0.8709,87319.62
2021-06-01,WhaleCare PH,Asset,Accounts Receivable,63293.67,0.9305,58894.76
2021-06-01,WhaleCare PH,Asset,Prepaid Expenses,89510.97,0.8514,76209.64
2021-06-01,WhaleCare PH,Asset,PPE,150767.87,0.9024,136052.93
2021-06-01,WhaleCare PH,Liability,Accounts Payable,117130.53,1.2199,142887.53
2021-06-01,WhaleCare PH,Liability,Deferred Revenue,128172.81,1.2992,166522.11
2021-06-01,WhaleCare PH,Liability,Accrued Expenses,86624.09,1.0653,92280.64
2021-06-01,WhaleCare PH,Equity,Retained Earnings,49613.07,1.093,54227.09
2021-06-01,WhaleCare PH,Equity,Share Capital,145033.58,1.1535,167296.23
2021-06-01,SummonStorm BR,Asset,Cash,78020.29,1.0089,78714.67
2021-06-01,SummonStorm BR,Asset,Accounts Receivable,90106.85,1.2664,114111.31
2021-06-01,SummonStorm BR,Asset,Prepaid Expenses,59538.11,0.9676,57609.08
2021-06-01,SummonStorm BR,Asset,PPE,141773.3,0.8834,125242.53
2021-06-01,SummonStorm BR,Liability,Accounts Payable,109919.49,1.2159,133651.11
2021-06-01,SummonStorm BR,Liability,Deferred Revenue,96044.1,1.1929,114571.01
2021-06-01,SummonStorm BR,Liability,Accrued Expenses,118400.9,0.8396,99409.4
2021-06-01,SummonStorm BR,Equity,Retained Earnings,88897.72,0.9584,85199.57
2021-06-01,SummonStorm BR,Equity,Share Capital,81859.0,0.8767,71765.79
2021-07-01,Tapstorm SG,Asset,Cash,64566.19,1.017,65663.82
2021-07-01,Tapstorm SG,Asset,Accounts Receivable,60724.4,0.931,56534.42
2021-07-01,Tapstorm SG,Asset,Prepaid Expenses,132128.1,1.1443,151194.18
2021-07-01,Tapstorm SG,Asset,PPE,138034.39,0.9122,125914.97
2021-07-01,Tapstorm SG,Liability,Accounts Payable,49130.0,1.1906,58494.18
2021-07-01,Tapstorm SG,Liability,Deferred Revenue,98463.51,1.1716,115359.85
2021-07-01,Tapstorm SG,Liability,Accrued Expenses,103166.19,1.0035,103527.27
2021-07-01,Tapstorm SG,Equity,Retained Earnings,80498.36,0.8615,69349.34
2021-07-01,Tapstorm SG,Equity,Share Capital,75548.51,0.8567,64722.41
2021-07-01,TapForge CN,Asset,Cash,103041.4,1.2373,127493.12
2021-07-01,TapForge CN,Asset,Accounts Receivable,79099.3,1.136,89856.8
2021-07-01,TapForge CN,Asset,Prepaid Expenses,100961.69,0.8753,88371.77
2021-07-01,TapForge CN,Asset,PPE,67594.39,1.1401,77064.36
2021-07-01,TapForge CN,Liability,Accounts Payable,82486.96,1.1781,97177.89
2021-07-01,TapForge CN,Liability,Deferred Revenue,91700.95,1.2294,112737.15
2021-07-01,TapForge CN,Liability,Accrued Expenses,89979.88,0.9795,88135.29
2021-07-01,TapForge CN,Equity,Retained Earnings,134383.25,0.856,115032.06
